League,Week,Winner,Loser,Winner Pts,Loser Pts
QuickDraft 1,6,theBandit216,ConorDeLa,133.88,129.78
QuickDraft 1,2,theBandit216,aledo,131.9,125.38
QuickDraft 1,4,theBandit216,tford51,154.06,129.88
Quickdraft 2,1,WestCoastNonsense,ProfessorD,202.52,157.74
Quickdraft 2,7,WestCoastNonsense,aledo,172.38,172.34
Quickdraft 2,4,WestCoastNonsense,ConorDeLa,210.5,183.48
Quickdraft 2,5,WestCoastNonsense,theBandit216,164.14,153.44
Quickdraft 2,3,WestCoastNonsense,Frank1983,194.58,148.3
BB3,1,Mschmoopie,tford51,170.2,154.42
BB3,3,Mschmoopie,ConorDeLa,135.78,113.14
BB3,5,Mschmoopie,WestCoastNonsense,129.96,89.46
BB3,4,Mschmoopie,jnappy,175.26,166.88
BB3,7,Mschmoopie,aledo,141.5,127.16
BB3,6,Mschmoopie,JeffMyers,177.22,172.06
BB5,6,Mschmoopie,ConorDeLa,182.66,159.84
BB5,7,Mschmoopie,theBandit216,137.24,121.06
BB5,2,Mschmoopie,jnappy,211.5,159.34
BB5,3,Mschmoopie,tford51,148.5,129.02
BB5,4,Mschmoopie,Fordo45,157.72,124.2
MainLeague,6,aledo,gpeisert1,147.06,139.22
MainLeague,4,aledo,ConorDeLa,135.42,120.88
MainLeague,3,aledo,theBandit216,157.68,96.96
BB1,3,ChiJV,WestCoastNonsense,210.12,139.16
BB1,4,ChiJV,theBandit216,188.36,147.26
BB1,5,ChiJV,jnappy,144.68,133.7
BB1,6,ChiJV,Mschmoopie,184.14,101.6
BB1,7,ChiJV,tford51,141.86,132.46
BB1,2,ChiJV,plfinken,172.6,142.74
BB2,7,Deerslayer65,theBandit216,186.34,85.46
BB2,1,Deerslayer65,WestCoastNonsense,174.5,103.16
BB2,6,Deerslayer65,aledo,191.92,137.5
BB3,6,aledo,tford51,151.7,119.32
BB3,2,aledo,gpeisert1,163.96,122.04
BB4,4,theBandit216,ProfessorD,143.3,133.04
BB4,2,theBandit216,Mschmoopie,151.92,127.34
BB5,1,tford51,jnappy,183.0,168.02
BB5,6,tford51,aledo,192.0,133.5
BB5,7,tford51,Fordo45,163.98,143.38
MainLeague,4,plfinken,WestCoastNonsense,166.22,116.4
MainLeague,1,plfinken,ConorDeLa,114.26,79.0
MainLeague,5,plfinken,aledo,125.54,122.96
BB1,2,tford51,koolaid403,135.3,117.8
BB1,3,tford51,ConorDeLa,152.08,128.78
BB2,1,tford51,jnappy,164.86,117.74
BB2,4,tford51,gpeisert1,199.34,142.82
BB2,7,tford51,ConorDeLa,153.96,146.92
BB2,5,tford51,Mschmoopie,162.26,123.86
BB2,6,tford51,ChiJV,184.72,138.7
BB3,3,Deerslayer65,WestCoastNonsense,168.36,165.12
BB3,1,Deerslayer65,koolaid403,148.16,144.92
BB3,5,Deerslayer65,aledo,153.48,118.6
BB3,4,Deerslayer65,JeffMyers,159.76,151.12
BB4,5,JeffMyers,ProfessorD,204.54,154.42
BB4,4,JeffMyers,ConorDeLa,203.1,167.64
BB4,7,JeffMyers,koolaid403,178.04,166.38
BB4,1,JeffMyers,theBandit216,179.18,162.02
BB4,3,JeffMyers,Mschmoopie,190.64,156.6
BB5,2,koolaid403,ConorDeLa,116.16,109.82
BB5,3,koolaid403,theBandit216,212.5,141.4
BB5,1,koolaid403,gpeisert1,164.44,154.48
BB5,5,koolaid403,tford51,209.96,152.76
MainLeague,1,CoryPeisert,gpeisert1,147.99,137.98
MainLeague,4,CoryPeisert,theBandit216,143.52,107.54
MainLeague,7,CoryPeisert,aledo,126.8,124.22
BB2,3,ChiJV,theBandit216,182.8,119.68
BB2,1,ChiJV,ConorDeLa,185.12,106.54
BB2,4,ChiJV,Deerslayer65,152.5,139.62
BB3,6,gpeisert1,koolaid403,140.56,96.46
BB3,7,gpeisert1,Deerslayer65,167.74,137.54
BB4,4,Mschmoopie,jnappy,170.58,144.14
BB4,7,Mschmoopie,aledo,164.7,115.92
BB4,6,Mschmoopie,WestCoastNonsense,115.22,85.98
BB4,5,Mschmoopie,msbosway,181.14,113.1
BB5,7,msbosway,ConorDeLa,182.34,124.34
BB5,6,msbosway,theBandit216,155.72,138.66
BB5,3,msbosway,jnappy,203.7,116.98
BB5,4,msbosway,aledo,182.72,150.52
