full_name,espn_id,rotowire_id,sportradar_id,yahoo_id,college,years_experience,team,position,coach,bye,league_name
Troy Franklin,-1,17719,765dffd8-8112-4078-86a1-924ccebf1069,-1,Oregon,0.0,DEN,WR,ConorDeLa,14,MainLeague
Brian Thomas,-1,17716,271a233e-68b3-4261-a3aa-7667eaf9d3cc,-1,LSU,0.0,JAX,WR,ConorDeLa,12,MainLeague
Malik Nabers,-1,17704,55ef2022-50c2-465b-839e-c0f4c9e7c55c,-1,LSU,0.0,NYG,WR,ConorDeLa,11,MainLeague
Ricky Pearsall,-1,17761,aca4c1b8-915f-4295-92e4-05b51feee6b1,-1,Florida,0.0,SF,WR,ConorDeLa,9,MainLeague
Jacoby Brissett,2578570,10919,ad2258ab-67f0-41c2-bcf3-f3ba145187dc,29325,North Carolina State,8.0,NE,QB,ConorDeLa,14,MainLeague
Curtis Samuel,3121427,11710,66a21b6d-97e5-4732-8bb0-062145d6bbc6,30153,Ohio State,7.0,BUF,WR,ConorDeLa,12,MainLeague
Joshua Dobbs,3044720,11834,15bedebc-839e-450a-86f6-1f5ad1f4f820,30248,Tennessee,7.0,SF,QB,ConorDeLa,9,MainLeague
Sam Darnold,3912547,12490,13d826c5-9b22-4e0a-a877-02d8c84c546b,30973,USC,6.0,MIN,QB,ConorDeLa,6,MainLeague
Calvin Ridley,3925357,12616,926e2674-52d6-4cec-9991-46ee85cc8cfd,30996,Alabama,6.0,TEN,WR,ConorDeLa,5,MainLeague
Gus Edwards,3051926,13123,3ffc3993-461e-4477-9def-c9633b7feac1,31424,Rutgers,6.0,LAC,RB,ConorDeLa,5,MainLeague
Kyler Murray,3917315,13613,dd5a6b6e-ffae-45a5-b8e6-718a9251f374,31833,Oklahoma,5.0,ARI,QB,ConorDeLa,11,MainLeague
David Montgomery,4035538,13556,1c9e1cd5-8cb1-4a15-a2c8-3a0c0fd5423c,31905,Iowa State,5.0,DET,RB,ConorDeLa,5,MainLeague
Clyde Edwards-Helaire,4242214,14514,8aa01565-4481-443a-9951-642c98ded113,32702,LSU,4.0,KC,RB,ConorDeLa,6,MainLeague
Rondale Moore,-1,15514,975555d0-fe82-4e88-90f4-d690f5000671,-1,Purdue,3.0,ATL,WR,ConorDeLa,12,MainLeague
