round,roster_id,player_id,picked_by,pick_no,is_keeper,draft_slot,draft_id,years_exp,team,status,sport,position,player_id,number,news_updated,last_name,injury_status,first_name,Player Fullname
13,7,8121,992197862165377024,151,,6,1060410180510253056,2,GB,Active,nfl,WR,8121,87,1705813210179,Doubs,,Romeo,Romeo Doubs
13,5,2749,735703182587600896,152,,5,1060410180510253056,9,MIA,Active,nfl,RB,2749,31,1711744246919,Mostert,,Raheem,Raheem Mostert
13,8,11581,564369169909952512,153,,4,1060410180510253056,0,GB,Active,nfl,RB,11581,,1714187736758,Lloyd,,MarShawn,MarShawn Lloyd
13,1,1426,1079146414086705152,154,,3,1060410180510253056,11,TEN,Active,nfl,WR,1426,10,1704699630574,Hopkins,,DeAndre,DeAndre Hopkins
13,12,7670,998692352560746496,155,,2,1060410180510253056,3,LAC,Active,nfl,WR,7670,5,1710533421215,Palmer,,Joshua,Joshua Palmer
13,8,2374,564369169909952512,156,,1,1060410180510253056,9,SEA,Active,nfl,WR,2374,16,1710060604002,Lockett,,Tyler,Tyler Lockett
14,8,10232,564369169909952512,157,,1,1060410180510253056,1,ARI,Active,nfl,WR,10232,14,1710534021289,Wilson,,Michael,Michael Wilson
14,12,11596,998692352560746496,158,,2,1060410180510253056,0,WAS,Active,nfl,TE,11596,,1714179034762,Sinnott,,Ben,Ben Sinnott
14,1,3214,1079146414086705152,159,,3,1060410180510253056,8,NE,Active,nfl,TE,3214,85,1709918150708,Henry,,Hunter,Hunter Henry
14,8,9511,564369169909952512,160,,4,1060410180510253056,1,BAL,Active,nfl,RB,9511,34,1710357057114,Mitchell,,Keaton,Keaton Mitchell
14,5,9484,735703182587600896,161,,5,1060410180510253056,1,GB,Active,nfl,TE,9484,85,1705814709749,Kraft,,Tucker,Tucker Kraft
14,7,8129,992197862165377024,162,,6,1060410180510253056,2,HOU,Active,nfl,RB,8129,31,1710276650671,Pierce,,Dameon,Dameon Pierce
14,6,11640,990442792889405440,163,,7,1060410180510253056,0,CIN,Active,nfl,WR,11640,,1714186235660,Burton,,Jermaine,Jermaine Burton
14,10,9482,991952313524797440,164,,8,1060410180510253056,1,LV,Active,nfl,TE,9482,87,1714105220083,Mayer,,Michael,Michael Mayer
14,2,9757,564663138659733504,165,,9,1060410180510253056,1,NO,Active,nfl,RB,9757,25,1704676228117,Miller,,Kendre,Kendre Miller
14,9,6011,857665738834558976,166,,10,1060410180510253056,5,LV,Active,nfl,QB,6011,15,1714446012993,Minshew,,Gardner,Gardner Minshew
14,4,11619,1081400535607037952,167,,11,1060410180510253056,0,NE,Active,nfl,WR,11619,,1714175427736,Polk,,Ja'Lynn,Ja'Lynn Polk
14,11,11630,992249754476257280,168,,12,1060410180510253056,0,PIT,Active,nfl,WR,11630,,1714187136235,Wilson,,Roman,Roman Wilson
15,11,11584,992249754476257280,169,,12,1060410180510253056,0,TB,Active,nfl,RB,11584,,1714239036857,Irving,,Bucky,Bucky Irving
15,4,5248,1081400535607037952,170,,11,1060410180510253056,6,LAC,Active,nfl,RB,5248,4,1714420518499,Edwards,,Gus,Gus Edwards
15,9,9486,857665738834558976,171,,10,1060410180510253056,1,GB,Active,nfl,WR,9486,13,1705961450126,Wicks,,Dontayvion,Dontayvion Wicks
15,2,11575,564663138659733504,172,,9,1060410180510253056,0,BUF,Active,nfl,RB,11575,,1714239937492,Davis,,Ray,Ray Davis
15,10,8132,991952313524797440,173,,8,1060410180510253056,2,ATL,Active,nfl,RB,8132,25,1705509959943,Allgeier,,Tyler,Tyler Allgeier
15,6,11562,990442792889405440,174,,7,1060410180510253056,0,NO,Active,nfl,QB,11562,,1714243838349,Rattler,,Spencer,Spencer Rattler
15,7,6943,992197862165377024,175,,6,1060410180510253056,4,JAX,Active,nfl,WR,6943,13,1714581031160,Davis,,Gabe,Gabe Davis
15,5,6806,735703182587600896,176,,5,1060410180510253056,4,LAC,Active,nfl,RB,6806,27,1714505418071,Dobbins,Questionable,J.K.,J.K. Dobbins
15,3,8134,987074330058113024,177,,4,1060410180510253056,2,BUF,Active,nfl,WR,8134,10,1714543223442,Shakir,,Khalil,Khalil Shakir
15,1,7090,1079146414086705152,178,,3,1060410180510253056,4,ATL,Active,nfl,WR,7090,1,1710259205352,Mooney,,Darnell,Darnell Mooney
15,12,7594,998692352560746496,179,,2,1060410180510253056,3,CAR,Active,nfl,RB,7594,30,1714512020442,Hubbard,,Chuba,Chuba Hubbard
15,8,4068,564369169909952512,180,,1,1060410180510253056,7,NYJ,Active,nfl,WR,4068,81,1711399541933,Williams,Questionable,Mike,Mike Williams
16,8,11617,564369169909952512,181,,1,1060410180510253056,0,NYJ,Active,nfl,WR,11617,,1714182327892,Corley,,Malachi,Malachi Corley
16,12,8676,998692352560746496,182,,2,1060410180510253056,2,NO,Active,nfl,WR,8676,22,1714419018021,Shaheed,,Rashid,Rashid Shaheed
16,1,8111,1079146414086705152,183,,3,1060410180510253056,2,TB,Active,nfl,TE,8111,88,1705885218195,Otton,,Cade,Cade Otton
16,3,7021,987074330058113024,184,,4,1060410180510253056,4,DAL,Active,nfl,RB,7021,23,1714419920323,Dowdle,,Rico,Rico Dowdle
16,5,7571,735703182587600896,185,,5,1060410180510253056,3,BAL,Active,nfl,WR,7571,7,1713981310650,Bateman,,Rashod,Rashod Bateman
16,7,11600,992197862165377024,186,,6,1060410180510253056,0,CAR,Active,nfl,TE,11600,,1714234832914,Sanders,,Ja'Tavion,Ja'Tavion Sanders
16,6,8135,990442792889405440,187,,7,1060410180510253056,2,TEN,Active,nfl,WR,8135,16,1710523520143,Burks,,Treylon,Treylon Burks
